review,rating,date,bank,source,sentiment_label,sentiment_score
very good 👍 mobile banking,5,2025-10-04,CBE,google_play,Positive,0.4927
so special,5,2025-10-04,CBE,google_play,Positive,0.4576
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,google_play,Positive,0.91
woow cbe,5,2025-10-03,CBE,google_play,Neutral,0.0
cbe the best bank app,4,2025-10-03,CBE,google_play,Positive,0.6369
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,google_play,Positive,0.6369
Rijalufaris,5,2025-10-02,CBE,google_play,Neutral,0.0
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,google_play,Negative,-0.5346
imoo,3,2025-10-02,CBE,google_play,Neutral,0.0
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,google_play,Positive,0.25
screen shoot always not allowed why?,5,2025-10-02,CBE,google_play,Negative,-0.34
enkorabetalen,5,2025-10-01,CBE,google_play,Neutral,0.0
Gamada mahamadi,1,2025-10-01,CBE,google_play,Neutral,0.0
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,google_play,Positive,0.3392
verfcasencod,5,2025-09-30,CBE,google_play,Neutral,0.0
you can't get your own transaction history,1,2025-09-29,CBE,google_play,Neutral,0.0
sintu,5,2025-09-29,CBE,google_play,Neutral,0.0
BEST,5,2025-09-28,CBE,google_play,Positive,0.6369
Bank of Ethiopia,5,2025-09-28,CBE,google_play,Neutral,0.0
"All most Good, but need improvement",5,2025-09-27,CBE,google_play,Positive,0.7267
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,google_play,Positive,0.9147
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,google_play,Negative,-0.4767
niceapp,5,2025-09-27,CBE,google_play,Neutral,0.0
the best app of all,5,2025-09-25,CBE,google_play,Positive,0.6369
❤️,5,2025-09-25,CBE,google_play,Neutral,0.0
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,google_play,Positive,0.1779
Juhaar,5,2025-09-24,CBE,google_play,Neutral,0.0
I am using CBE app very fantastic.,5,2025-09-24,CBE,google_play,Positive,0.5984
bist app tankyou,4,2025-09-23,CBE,google_play,Neutral,0.0
this is very useful and consistent app,5,2025-09-23,CBE,google_play,Positive,0.4927
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,google_play,Positive,0.4404
So good,5,2025-09-23,CBE,google_play,Positive,0.4927
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,google_play,Positive,0.4927
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,google_play,Positive,0.4404
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,google_play,Positive,0.771
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,google_play,Positive,0.6249
very important app,4,2025-09-21,CBE,google_play,Positive,0.2716
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,google_play,Positive,0.8807
DANTRO BAND!!!,5,2025-09-21,CBE,google_play,Neutral,0.0
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,google_play,Positive,0.5973
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,google_play,Positive,0.3708
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,google_play,Neutral,0.0
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,google_play,Neutral,0.0
asfaw damse,5,2025-09-19,CBE,google_play,Neutral,0.0
jabadhaa namatii tolataan,5,2025-09-19,CBE,google_play,Neutral,0.0
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,google_play,Positive,0.5406
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,google_play,Positive,0.7003
Truly amazing!,5,2025-09-18,CBE,google_play,Positive,0.7901
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,google_play,Neutral,0.0
😎,5,2025-09-18,CBE,google_play,Positive,0.4588
JanaleBl,5,2025-09-17,CBE,google_play,Neutral,0.0
nice application,5,2025-09-17,CBE,google_play,Positive,0.4215
WaaaaaaaW,1,2025-09-17,CBE,google_play,Neutral,0.0
very nice,5,2025-09-16,CBE,google_play,Positive,0.4754
Of,5,2025-09-16,CBE,google_play,Neutral,0.0
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,CBE,google_play,Positive,0.6369
Easy to use and not Complicated 👍,5,2025-09-15,CBE,google_play,Positive,0.4404
apdat the app,5,2025-09-14,CBE,google_play,Neutral,0.0
good in bankin at any time & any where.,5,2025-09-13,CBE,google_play,Positive,0.4404
great,5,2025-09-13,CBE,google_play,Positive,0.6249
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,CBE,google_play,Negative,-0.8279
it is best to me,1,2025-09-13,CBE,google_play,Positive,0.6369
hayizgi mebrahtom feshay,5,2025-09-13,CBE,google_play,Neutral,0.0
Excellent app,5,2025-09-12,CBE,google_play,Positive,0.5719
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,CBE,google_play,Neutral,0.0
love,5,2025-09-12,CBE,google_play,Positive,0.6369
Hasasa bank,1,2025-09-11,CBE,google_play,Neutral,0.0
All ways Trusted.,5,2025-09-11,CBE,google_play,Positive,0.4767
best MB application in Ethiopia financial sector.,5,2025-09-11,CBE,google_play,Positive,0.6369
I like this app,5,2025-09-11,CBE,google_play,Positive,0.3612
am tired why I have to update every 5 day,1,2025-09-11,CBE,google_play,Negative,-0.4404
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,CBE,google_play,Positive,0.3612
good morning 🙏,5,2025-09-10,CBE,google_play,Positive,0.4404
am happy 😃,5,2025-09-09,CBE,google_play,Positive,0.7351
wowww,5,2025-09-08,CBE,google_play,Neutral,0.0
KEHRU nasir AbFIXA,5,2025-09-08,CBE,google_play,Neutral,0.0
It is well organized.,5,2025-09-08,CBE,google_play,Positive,0.2732
Can't see the nearest Branch or ATM available,2,2025-09-08,CBE,google_play,Neutral,0.0
the app does not open,1,2025-09-07,CBE,google_play,Neutral,0.0
from Monk,3,2025-09-06,CBE,google_play,Neutral,0.0
